               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,      metrics/1m_mAP,      metrics/1p_mAP,      metrics/1s_mAP,      metrics/1z_mAP,      metrics/2m_mAP,      metrics/2p_mAP,      metrics/2s_mAP,      metrics/2z_mAP,      metrics/3m_mAP,      metrics/3p_mAP,      metrics/3s_mAP,      metrics/3z_mAP,      metrics/4m_mAP,      metrics/4p_mAP,      metrics/4s_mAP,      metrics/4z_mAP,      metrics/5m_mAP,      metrics/5p_mAP,      metrics/5s_mAP,      metrics/5z_mAP,      metrics/6m_mAP,      metrics/6p_mAP,      metrics/6s_mAP,      metrics/6z_mAP,      metrics/7m_mAP,      metrics/7p_mAP,      metrics/7s_mAP,      metrics/7z_mAP,      metrics/8m_mAP,      metrics/8p_mAP,      metrics/8s_mAP,      metrics/9m_mAP,      metrics/9p_mAP,      metrics/9s_mAP,   metrics/1m_mAP_50,   metrics/1p_mAP_50,   metrics/1s_mAP_50,   metrics/1z_mAP_50,   metrics/2m_mAP_50,   metrics/2p_mAP_50,   metrics/2s_mAP_50,   metrics/2z_mAP_50,   metrics/3m_mAP_50,   metrics/3p_mAP_50,   metrics/3s_mAP_50,   metrics/3z_mAP_50,   metrics/4m_mAP_50,   metrics/4p_mAP_50,   metrics/4s_mAP_50,   metrics/4z_mAP_50,   metrics/5m_mAP_50,   metrics/5p_mAP_50,   metrics/5s_mAP_50,   metrics/5z_mAP_50,   metrics/6m_mAP_50,   metrics/6p_mAP_50,   metrics/6s_mAP_50,   metrics/6z_mAP_50,   metrics/7m_mAP_50,   metrics/7p_mAP_50,   metrics/7s_mAP_50,   metrics/7z_mAP_50,   metrics/8m_mAP_50,   metrics/8p_mAP_50,   metrics/8s_mAP_50,   metrics/9m_mAP_50,   metrics/9p_mAP_50,   metrics/9s_mAP_50
                   0,            0.070571,            0.055372,             0.08958,            0.023919,              0.4979,            0.030128,            0.014121,            0.055497,            0.054772,            0.086791,            0.070088,           0.0033236,           0.0033236,           0.0074752,            0.012534,           0.0053385,            0.017163,           0.0030972,            0.013695,            0.013226,            0.011132,           0.0067334,           0.0050179,            0.011373,           0.0081387,           0.0083726,            0.024469,           0.0075024,           0.0095533,             0.01539,            0.009842,           0.0099703,             0.13313,           0.0088817,            0.010813,            0.022418,           0.0085621,           0.0084454,           0.0035854,           0.0074324,           0.0043874,           0.0073593,            0.011173,           0.0080592,            0.020664,           0.0055596,            0.019632,             0.01366,            0.024835,             0.01253,            0.047437,           0.0083907,            0.026851,            0.024187,            0.024781,            0.016793,            0.011723,            0.024439,            0.020325,            0.024605,            0.057641,            0.015964,            0.018932,            0.031429,            0.021847,            0.021423,             0.24117,            0.018811,             0.02483,            0.057559,            0.021291,            0.021247,           0.0086062,            0.015347,            0.014037,            0.016472,            0.025015,            0.019954,            0.035191,            0.018005,            0.039014
                   1,            0.050598,            0.038669,            0.085132,            0.031663,             0.68064,            0.079173,            0.042196,            0.045216,            0.049462,             0.08446,            0.040022,            0.006591,            0.006591,           0.0073979,             0.30094,            0.011671,            0.023227,            0.010083,            0.079729,            0.011228,           0.0068865,            0.022147,            0.042974,            0.034663,            0.006397,            0.012129,            0.039471,            0.014054,            0.015063,            0.021516,            0.039501,            0.016399,             0.40188,            0.010887,            0.017382,            0.075807,            0.013036,            0.016709,            0.015563,            0.016901,           0.0083882,            0.010936,            0.017383,            0.026187,            0.037198,             0.01976,            0.031168,            0.014664,             0.59263,            0.020958,            0.045228,            0.019656,             0.16378,            0.021596,            0.010872,            0.039558,            0.093673,             0.07435,            0.014174,            0.022134,            0.074437,            0.027344,            0.029559,              0.0367,            0.073049,            0.029738,             0.72046,            0.022179,            0.030365,             0.12796,            0.027585,            0.031455,            0.030306,            0.032665,            0.014312,            0.021725,            0.033718,            0.047504,            0.054913,            0.032596,            0.060025
                   2,            0.045314,            0.035544,            0.082986,             0.28136,             0.22641,             0.19489,             0.11336,            0.036194,            0.045584,            0.080367,           0.0098902,           0.0097924,           0.0097924,             0.02017,             0.36199,            0.045675,            0.039371,            0.022861,             0.40502,            0.023586,            0.030034,            0.071735,             0.25932,            0.046429,             0.21396,            0.020788,            0.089249,            0.045693,            0.067599,            0.026004,             0.14845,            0.043629,              0.5015,            0.029785,            0.059031,             0.13727,            0.043164,            0.053636,            0.039854,            0.076126,            0.021182,            0.054621,             0.37864,            0.054444,            0.036286,            0.095155,             0.29193,            0.032506,             0.63065,            0.072311,            0.063491,            0.039347,             0.72759,            0.034839,            0.045135,             0.12133,             0.44789,            0.073546,             0.43099,            0.033253,             0.13878,            0.072701,             0.12951,            0.040623,             0.26103,             0.07264,             0.88185,            0.048557,            0.093455,             0.21729,            0.081455,            0.085386,            0.064671,              0.1258,            0.030484,            0.086632,             0.61693,            0.093115,            0.053978,             0.15541,             0.52302
                   3,             0.04046,            0.032985,             0.07782,             0.25252,             0.51342,             0.35743,             0.19377,            0.032007,             0.04285,            0.072846,            0.009703,            0.009703,            0.009703,            0.049504,             0.47272,             0.12527,            0.071837,            0.047031,             0.48498,             0.21217,              0.1366,            0.082123,             0.36215,             0.15422,             0.33728,            0.030917,             0.35596,            0.083283,            0.094784,            0.076103,             0.39092,            0.070192,             0.48965,            0.060851,             0.12321,             0.16026,             0.19051,            0.078416,             0.10184,            0.091442,             0.26557,            0.078407,             0.41386,              0.1884,            0.054124,             0.34928,             0.30448,            0.085884,             0.81609,             0.23566,             0.13513,            0.083192,             0.83227,             0.40966,             0.25066,             0.14277,             0.70732,             0.29154,             0.73608,            0.055331,             0.56758,             0.15836,             0.17964,             0.13434,             0.66066,             0.11915,             0.94279,             0.12455,             0.20588,             0.27113,             0.45041,             0.12424,             0.18358,             0.17559,             0.49099,             0.15554,             0.83242,             0.33093,             0.10237,                0.64,             0.52079
                   4,            0.037506,            0.031182,             0.07017,             0.44165,             0.56624,             0.50679,              0.3389,             0.02689,            0.040082,            0.063025,            0.009703,            0.009703,            0.009703,            0.084645,             0.66937,             0.29134,              0.1312,            0.088402,              0.6241,             0.63051,             0.31154,             0.14117,             0.57812,             0.40243,             0.61656,            0.073364,             0.63873,             0.29044,             0.18701,             0.15256,             0.47841,             0.17646,             0.58086,             0.12922,             0.24622,             0.36711,             0.26556,             0.16231,             0.35015,             0.12917,             0.47257,             0.10624,             0.62786,             0.47748,             0.10803,             0.57711,             0.35643,             0.12346,             0.97809,             0.51281,             0.18312,             0.12754,             0.97337,             0.86099,             0.46057,             0.19476,             0.87384,             0.56217,             0.85871,             0.11777,             0.89791,             0.44849,             0.25384,             0.22007,             0.77482,             0.25796,             0.98125,             0.19162,             0.34723,             0.53968,              0.4597,             0.24425,             0.54569,             0.19795,             0.67853,             0.14535,             0.93455,             0.68312,             0.15305,             0.90647,             0.54223
                   5,            0.036004,            0.029606,            0.060724,             0.78997,              0.5639,             0.65941,             0.42182,            0.028194,            0.039697,            0.051296,            0.009604,            0.009604,            0.009604,             0.10079,             0.63546,             0.56309,             0.39682,             0.14474,             0.52459,              0.6277,             0.37311,             0.17983,             0.60785,             0.44706,              0.6855,            0.078835,             0.56024,              0.5346,             0.25723,             0.18157,             0.51049,             0.51818,             0.63297,             0.12089,              0.4384,             0.53593,             0.45769,             0.27727,             0.44983,              0.3259,             0.62325,              0.0925,             0.64717,             0.58727,             0.19568,             0.56852,             0.46089,             0.15063,             0.98536,             0.88076,             0.53939,              0.2126,             0.99476,             0.96896,             0.55641,             0.28461,             0.98188,              0.7895,             0.96122,             0.13186,             0.98752,             0.80793,             0.34502,             0.27947,             0.91813,             0.70151,             0.98668,             0.19164,             0.73931,             0.78628,             0.62305,             0.43014,              0.7387,             0.51991,             0.87972,             0.14092,             0.97044,             0.95713,             0.31567,             0.96417,             0.69854
                   6,            0.035703,            0.030044,            0.050683,             0.84601,             0.65864,             0.73875,             0.52538,            0.025301,             0.03827,            0.039939,            0.009505,            0.009505,            0.009505,             0.13994,             0.65115,             0.68816,             0.52862,             0.19507,             0.64374,             0.78304,             0.48757,              0.2631,             0.69583,             0.70726,              0.6742,             0.13615,             0.72847,             0.69267,             0.47082,              0.2464,             0.64913,             0.64105,             0.62151,             0.14484,             0.66012,             0.64963,             0.40524,             0.39275,             0.55692,             0.61517,             0.69474,             0.13041,              0.6729,             0.72604,             0.35045,             0.66703,             0.55275,             0.19462,             0.97987,              0.9201,             0.74454,             0.26432,             0.97754,               0.995,             0.69331,             0.35045,             0.98786,             0.96694,             0.96557,             0.18771,             0.99044,             0.94622,             0.61711,             0.32608,             0.96569,             0.88219,              0.9708,              0.1966,              0.9082,              0.9308,             0.54711,             0.56339,             0.81277,             0.87271,             0.95425,             0.17684,               0.968,             0.98233,              0.4745,             0.96398,             0.83973
                   7,            0.034872,            0.029299,            0.042337,             0.85858,             0.70946,             0.80139,             0.56182,            0.026433,            0.037821,            0.031438,            0.009406,            0.009406,            0.009406,             0.42414,             0.71718,             0.71203,              0.6781,             0.20183,             0.71833,             0.79407,              0.5157,             0.27651,             0.71088,             0.72499,             0.63799,             0.14787,             0.67339,             0.69295,             0.57877,             0.26919,             0.65155,              0.6653,             0.70271,             0.12735,             0.68301,             0.70859,             0.53824,             0.41476,             0.60567,             0.63785,             0.57847,             0.16686,             0.69657,             0.71128,             0.43572,             0.66911,             0.63501,             0.61675,             0.97721,             0.99445,              0.9117,             0.32144,               0.995,             0.99464,             0.70453,             0.42734,               0.995,             0.99129,             0.92542,             0.23995,             0.98934,             0.98551,             0.78479,             0.41304,              0.9689,             0.98867,             0.97501,             0.21262,             0.93197,             0.96536,              0.7468,             0.54428,             0.93914,              0.9865,             0.99117,             0.26654,             0.96321,             0.99498,             0.57101,             0.97694,             0.95682
                   8,            0.034653,            0.028713,            0.036049,             0.74521,             0.80459,             0.83832,             0.60774,            0.024868,            0.037292,            0.025748,            0.009307,            0.009307,            0.009307,             0.62337,              0.6237,             0.76931,              0.6885,             0.21877,             0.74713,             0.81104,             0.74763,             0.26019,             0.74687,             0.74584,             0.68723,             0.13856,             0.74891,              0.7655,             0.71987,             0.33237,             0.72266,              0.7044,             0.70477,             0.17497,             0.70934,             0.72032,             0.64915,             0.48573,             0.68874,             0.69465,              0.5317,             0.25866,             0.73038,             0.72024,             0.46243,             0.63522,             0.69516,             0.86629,             0.98366,             0.98844,             0.92534,             0.30524,               0.995,             0.98999,             0.97427,             0.38174,               0.995,             0.97673,             0.99119,             0.19012,               0.995,               0.995,             0.97692,               0.449,               0.995,             0.98441,             0.96938,             0.22737,             0.99014,             0.99109,             0.87855,             0.64594,             0.97351,             0.99336,              0.9682,             0.34777,             0.99338,             0.99444,             0.58441,              0.9946,              0.9925
                   9,            0.033857,            0.028858,            0.030904,             0.79503,             0.87768,             0.88606,             0.63294,            0.025405,            0.037814,            0.020387,            0.009208,            0.009208,            0.009208,              0.5711,             0.73679,             0.72608,             0.72838,             0.34503,              0.7275,             0.76848,             0.67343,             0.46976,             0.60788,             0.73826,             0.67284,             0.25096,             0.75524,             0.74431,             0.63846,             0.58041,             0.71934,             0.69908,              0.6975,             0.26129,             0.75977,             0.66233,             0.67888,             0.64221,             0.66706,             0.64803,             0.70983,             0.42317,             0.74374,             0.74648,             0.39256,             0.63433,             0.69944,             0.91353,             0.97356,             0.99308,             0.96771,             0.49116,             0.97872,             0.99497,             0.99028,             0.65628,             0.97345,             0.99376,             0.98746,             0.36382,             0.99492,             0.99319,             0.98782,              0.8089,               0.995,             0.95308,             0.96963,              0.3458,             0.99128,             0.97212,             0.97334,             0.86095,             0.96601,             0.95444,             0.97165,              0.6392,             0.98969,             0.99396,             0.54092,             0.97245,             0.97392
